"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"X1","24MHz","Top","XTAL_3225","100.7500","65.2500","0","Crystal SMD 24MHz 10PPM 7pF 3225"
"U3","STM32F411CEU6","Top","STM-UFQFPN48_L","109.5000","69.2500","0","ARM Cortex-M4 32-bit MCU+FPU, 512 KB Flash, 128 KB RAM, 36 I/Os, 48-Pin UFQFPN, -40 to 85 degC, Tray"
"U2","MPU-6050","Top","IS-QFN-24_V","101.2500","78.0000","270","3-Axis Gyroscope, Accelerometer and a Digital Motion Processor(TM) (DMP), 2.375 to 3.46 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel"
"U1","AMS1117-3.3","Top","FP-AMS1117-IPC_C","116.7500","57.7500","270","LDO Voltage Regulators 1A, 3.3V"
"R7","10k","Top","RES_0402","108.7500","75.5000","270","Resistor SMD 0402"
"R6","0R","Top","RES_0402","102.1000","69.0000","0","Resistor SMD 0402"
"R5","10k","Top","RES_0402","120.2500","82.2500","0","Resistor SMD 0402"
"R4","1k","Top","RES_0402","115.0000","65.5000","0","Resistor SMD 0402"
"R3","2k2","Top","RES_0402","112.0000","77.0000","0","Resistor SMD 0402"
"R2","2k2","Top","RES_0402","109.7500","77.0000","180","Resistor SMD 0402"
"R1","1k","Top","RES_0402","124.0000","59.2500","270","Resistor SMD 0402"
"J3","SM06B-GHS-TB","Top","SM06B-GHS-TB","106.2500","54.7500","0","Header Connector 6 Position 1.25MM Pitch SMD Horizontal JST GH"
"J2","TC2030","Top","TC2030-FP","119.2100","78.7500","180","Tag-Connect No-Solder SWD Debug Connector DO NOT PLACE"
"J1","473460001","Top","FP-473460001-MFG","125.1700","70.4000","90","CONN RCPT USB2.0 MICRO B SMD R/A"
"FB1","120R","Top","FB_0603","120.2500","68.2500","180","Ferrite Bead SMD 0603"
"D2","RED","Top","LED_0402_RED","115.0000","67.0000","0","LED 0402 RED SMD"
"D1","GREEN","Top","LED_0402_GREEN","124.0000","56.7500","90","LED 0402 GREEN SMD"
"C18","100n","Top","CAP_0402","97.5000","79.2500","270","Capacitor SMD 0402"
"C17","100n","Top","CAP_0402","118.0000","82.2500","0","Capacitor SMD 0402"
"C16","2u2","Top","CAP_0603","110.5000","64.0000","0","Capacitor SMD 0603"
"C15","100n","Top","CAP_0402","106.7500","74.2500","180","Capacitor SMD 0402"
"C14","100n","Top","CAP_0402","114.5000","72.2500","90","Capacitor SMD 0402"
"C13","100n","Top","CAP_0402","113.0000","64.2500","0","Capacitor SMD 0402"
"C12","100n","Top","CAP_0402","104.5000","67.5000","270","Capacitor SMD 0402"
"C11","100n","Top","CAP_0402","104.5000","71.5000","90","Capacitor SMD 0402"
"C10","2u2","Top","CAP_0603","103.0000","71.5000","90","Capacitor SMD 0603"
"C9","10p","Top","CAP_0402","102.1000","67.7000","180","Capacitor SMD 0402"
"C8","10p","Top","CAP_0402","100.0000","67.7500","0","Capacitor SMD 0402"
"C7","2n2","Top","CAP_0402","104.7500","76.7500","270","Capacitor SMD 0402"
"C6","10n","Top","CAP_0402","99.5000","74.5000","180","Capacitor SMD 0402"
"C5","100n","Top","CAP_0402","97.5000","77.2500","270","Capacitor SMD 0402"
"C4","22u","Top","CAP_0805","121.7500","57.7500","270","Capacitor SMD 0805"
"C3","22u","Top","CAP_0805","117.0000","63.2500","180","Capacitor SMD 0805"
"C2","2u2","Top","CAP_0603","119.5000","66.0000","90","Capacitor SMD 0603"
"C1","2u2","Top","CAP_0603","121.0000","66.0000","90","Capacitor SMD 0603"
